;Tiempo;;;;;;;;;;;;;;;
"0405--(DESDE 01.01.96) MANTEQUILLA (MANTECA) Y DEMAS MATERIAS GRASAS DE LA LECHE; PASTAS LACTEAS PARA UNTAR. ";;0,08;;;;;;;;;;;;;;0,00
0406--QUESOS Y REQUESON. ;;;;;;;;;;;;;;;;0,00
0407--HUEVOS DE AVE CON CASCARON, FRESCOS, CONSERVADOS O COCIDOS. ;;;;;;;;;;;;;;0,00;;0,00
0408--HUEVOS DE AVE SIN CASCARON Y YEMAS DE HUEVO, FRESCOS, SECOS, COCIDOS CON AGUA O VAPOR, MOLDEADOS, CONGELADOS O CONSERVADOS DE OTRO MODO, INCLUSO AZUCARADOS O EDULCORADOS DE OTRO MODO. ;;;;0,01;;;;;;;;;;;;0,00
0409--MIEL NATURAL. ;857,49;351,23;34,76;13,56;6,84;2,79;4,93;361,33;1.466,49;421,98;323,37;1.424,24;894,63;702,56;797,53;13,52
1509--ACEITE DE OLIVA Y SUS FRACCIONES, INCLUSO REFINADO, PERO SIN MODIFICAR QUIMICAMENTE. ;;;;;0,07;;;;;;0,00;0,05;0,28;0,02;0,11;450,00
1511--ACEITE DE PALMA Y SUS FRACCIONES, INCLUSO REFINADO, PERO SIN MODIFICAR QUIMICAMENTE. ;0,61;;;;0,73;0,12;;;0,03;;;50,38;;0,02;0,01;-50,00
1512--ACEITES DE GIRASOL, DE CARTAMO O DE ALGODON, Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUIMICAMENTE. ;;;;;;;;;;;;;;;;0,00
"2201--AGUA, INCLUIDA EL AGUA MINERAL NATURAL O ARTIFICIAL Y LA GASIFICADA, SIN AZUCARAR O EDULCORAR DE OTRO MODO NI AROMATIZAR; HIELO Y NIEVE. ";1,03;1,30;2,23;1,50;0,63;0,73;11,88;9,97;15,29;47,42;23,10;15,04;5,29;17,16;4,91;-71,39
2202--AGUA, INCLUIDA EL AGUA MINERAL Y LA GASIFICADA, AZUCARADA, EDULCORADA DE OTRO MODO O AROMATIZADA, Y LAS DEMAS BEBIDAS NO ALCOHOLICAS, CON EXCLUSION DE LOS JUGOS DE FRUTAS O DE LEGUMBRES U HORTALIZAS DE LA PARTIDA 20.09. ;458,64;484,84;1.105,57;1.254,22;1.207,81;957,08;821,96;855,48;1.408,10;2.079,23;2.959,78;4.149,78;4.522,87;5.338,47;6.190,53;15,96
2203--CERVEZA DE MALTA. ;133,26;190,18;202,07;277,06;369,94;308,18;428,53;394,05;434,03;709,08;507,75;856,44;1.916,83;2.707,87;2.228,33;-17,71
"2204--VINO DE UVAS FRESCAS, INCLUSO ENCABEZADO; MOSTO DE UVA, EXCEPTO EL DE LA PARTIDA 20.09. ";0,11;50,69;2,80;19,05;1,67;1,36;62,82;9,71;1,38;2,35;23,01;15,53;45,73;2,16;1,70;-21,30
2205--VERMUT Y DEMAS VINOS DE UVAS FRESCAS PREPARADOS CON PLANTAS O SUSTANCIAS AROMATICAS. ;;;;;;;;;;;;;;;10,80;0,00
"2206--LAS DEMAS BEBIDAS FERMENTADAS (POR EJEMPLO SIDRA, PERADA O AGUAMIEL); MEZCLAS DE BEBIDAS FERMENTADAS Y MEZCLAS DE BEBIDAS FERMENTADAS Y BEBIDAS NO ALCOHOLICAS, NO EXPRESADAS NI COMPRENDIDAS EN OTRAS PARTIDAS. ";0,02;;;0,74;0,41;4,16;8,59;0,81;;0,05;;;0,05;10,01;0,03;-99,70
"2207--ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO SUPERIOR O IGUAL A 80% VOL; ALCOHOL ETILICO Y AGUARDIENTE DESNATURALIZADOS, DE CUALQUIER GRADUACION. ";;0,04;;0,00;;;;;;0,32;;;;;60,59;0,00
1803--PASTA DE CACAO, INCLUSO DESGRASADA. ;;;;;;;16,34;25,54;13,19;101,30;0,61;;0,73;324,34;1.529,16;371,47
1804--MANTECA, GRASA Y ACEITE DE CACAO. ;;;;;;;;;47,22;149,86;1.199,73;393,58;;0,03;;-100,00
1805--CACAO EN POLVO SIN AZUCARAR NI EDULCORAR DE OTRO MODO. ;;;;;1,00;0,23;9,45;0,15;;41,02;;0,20;6,82;10,35;12,31;18,94
"1905--PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCLUSO CON CACAO; HOSTIAS, SELLOS VACIOS DEL TIPO DE LOS USADOS PARA MEDICAMENTOS, OBLEAS, PASTAS DESECADAS DE HARINA, ALMIDON O FECULA, EN HOJAS Y PRODUCTOS SIMILARES. ";5.872,18;6.888,78;8.768,21;7.500,30;9.116,82;11.086,54;12.725,76;11.414,02;13.969,58;16.105,58;17.657,68;19.551,35;19.147,39;21.539,27;21.274,71;-1,23
